variant,residual_pii_like_hits,mean_hdqs,next_char_accuracy_mean,perplexity_mean,status
raw_noisy_baseline,9,0.7806062336146777,0.0078125,998585.9398935687,trained
clean_only,9,0.8216717430322581,,,data_only
pii_redact_only,0,0.7903550740872558,,,data_only
exact_dedup_only,6,0.7672654955835173,,,data_only
near_dedup_only,3,0.7665924537182383,,,data_only
jaccard_near_dedup_only,3,0.7665924537182383,,,data_only
rule_filter_only,9,0.8593527664404098,0.0078125,957009.2139492035,trained
rule_quality_filter,9,0.8593527664404098,,,data_only
perplexity_filter_proxy,0,0.9396492442450127,,,data_only
proxy_perplexity_filter,0,0.9396492442450127,,,data_only
hdqs_filter,0,0.9024675116276012,0.0078125,981624.0684719377,trained
hdqs_curriculum,0,0.9024675116276012,,,data_only
full_pipeline_without_clean,0,0.8824387863482993,,,data_only
full_pipeline_without_redact,3,0.9282605515748249,,,data_only
full_pipeline_without_exact_dedup,0,0.9180734362673206,,,data_only
full_pipeline_without_near_dedup,0,0.9041966090412632,,,data_only
full_without_hdqs,0,0.9180734362673206,,,data_only
full_pipeline,0,0.9180734362673206,0.0078125,844138.9457508345,trained
full_pipeline_without_hdqs,0,0.9180734362673206,,,data_only
minhash_lsh_near_dedup_only,3,0.7665924537182383,,,data_only
random_retention_matched_baseline,6,0.8117739342341989,,,data_only
length_matched_baseline,9,0.8199306396129974,,,data_only
quality_retention_matched_baseline,0,0.9024675116276012,,,data_only
