variant,residual_pii_like_hits,mean_hdqs,next_char_accuracy_mean,perplexity_mean,status
raw_noisy_baseline,18,0.8046430342518434,0.0078125,925491.3130419138,trained
clean_only,18,0.8444015081314276,,,data_only
pii_redact_only,0,0.8047421529695074,,,data_only
exact_dedup_only,15,0.8201043353921923,,,data_only
near_dedup_only,12,0.8317301151233172,,,data_only
jaccard_near_dedup_only,12,0.8317301151233172,,,data_only
rule_filter_only,18,0.8627311281376286,0.0078125,863574.6643605457,trained
rule_quality_filter,18,0.8627311281376286,,,data_only
perplexity_filter_proxy,6,0.9087644811221498,,,data_only
proxy_perplexity_filter,6,0.9087644811221498,,,data_only
hdqs_filter,6,0.8752316674801932,0.0078125,854940.1741203051,trained
hdqs_curriculum,6,0.8752316674801932,,,data_only
full_pipeline_without_clean,0,0.8651395192473917,,,data_only
full_pipeline_without_redact,12,0.9157569027751419,,,data_only
full_pipeline_without_exact_dedup,0,0.9152032302318843,,,data_only
full_pipeline_without_near_dedup,0,0.9155235508756088,,,data_only
full_without_hdqs,0,0.906228547053607,,,data_only
full_pipeline,0,0.9152032302318843,0.0078125,898811.7804628533,trained
full_pipeline_without_hdqs,0,0.906228547053607,,,data_only
minhash_lsh_near_dedup_only,12,0.8317301151233172,,,data_only
random_retention_matched_baseline,12,0.7959411787011279,,,data_only
length_matched_baseline,18,0.8561507801138007,,,data_only
quality_retention_matched_baseline,6,0.8951284475430228,,,data_only
