variant,documents,duplicate_documents,pii_like_hits,mean_hdqs
raw_noisy_baseline,49,11,18,0.8046430342518434
clean_only,49,11,18,0.8444015081314276
pii_redact_only,49,11,0,0.8047421529695074
exact_dedup_only,38,0,15,0.8201043353921923
near_dedup_only,32,0,12,0.8317301151233172
jaccard_near_dedup_only,32,0,12,0.8317301151233172
rule_filter_only,38,6,18,0.8627311281376286
rule_quality_filter,38,6,18,0.8627311281376286
perplexity_filter_proxy,22,4,6,0.9087644811221498
proxy_perplexity_filter,22,4,6,0.9087644811221498
hdqs_filter,34,5,6,0.8752316674801932
hdqs_curriculum,34,5,6,0.8752316674801932
full_pipeline_without_clean,27,0,0,0.8651395192473917
full_pipeline_without_redact,28,0,12,0.9157569027751419
full_pipeline_without_exact_dedup,26,0,0,0.9152032302318843
full_pipeline_without_near_dedup,29,0,0,0.9155235508756088
full_without_hdqs,28,0,0,0.906228547053607
full_pipeline,26,0,0,0.9152032302318843
full_pipeline_without_hdqs,28,0,0,0.906228547053607
minhash_lsh_near_dedup_only,32,0,12,0.8317301151233172
random_retention_matched_baseline,26,4,12,0.7959411787011279
length_matched_baseline,26,3,18,0.8561507801138007
quality_retention_matched_baseline,26,4,6,0.8951284475430228
